tweetid	sentiment	followers_count	favourites_count	verified	statuses_count	timestamp_ms	text	party	borough	Av_Sent_Party	Av_Sent_Borough
918	0	596	256	FALSE	2577	1.52518E+12	Out on the campaign trail in Oakleigh for @BarnetTories ahead of Thursday’s election. #VoteConservative #ToryCanvass https://t.co/MiVZa1I8qF	Conservative	Barnet	-0.086125	0.487792
1139	0	3169	6585	FALSE	4368	1.52518E+12	Campaigning with @BarnetTories  Councillor Candidates @GurungLachhya   @Laithe_Jajeh @cynthiabarker24 and @MatthewOfford MP in Mill Hill this weekend.  @HertsmereTories @Conservatives #Elections2018 #Tories #barnet #VoteConservative https://t.co/aD9R4SPbfB	Conservative	Barnet	-0.086125	0.487792
14184	-0.9024	851	37	FALSE	46583	1.5252E+12	Only days to go until the local elections &amp; I refuse to vote for 4 more yrs of Barnet Tory rule! The outsourcing experiment failed  they sold Barnet's soul to Capita  NSL etc. so middlemen could profit while services suffered &amp; residents cried! Time to FIX broken Barnet! https://t.co/CFbrAUuXCy	Conservative	Barnet	-0.086125	0.487792
14961	0.5579	1416	38918	FALSE	32116	1.5252E+12	@martinthegood It’s making local elections a very difficult call. Here in Barnet there’s a whisker of a chance of unseating the Tories and normally I’d be wearing out shoe leather campaigning. But I don’t want any victory to be seen as support for Brexit 	Conservative	Barnet	-0.086125	0.487792
11454	0.8221	96	202	FALSE	235	1.5252E+12	The totally awesome and very electable @eddieizzard comes to save Barnet #votelabour #LocalElections2018 #Eddie4ChippingBarnetMP https://t.co/gLqS94kBeD	Labour	Barnet	0.409415	0.487792
17355	0.6114	1560	181384	FALSE	197482	1.52521E+12	Two mass canvasses in Barnet today - Child's Hill and Hay (Mill Hill) Went round with Labour Group Deputy Leader Ross Houston @BarnetLabour has excellent roots in the Jewish and Asian communities (one candidate is a Rabbi) I sense a high turnout and a Labour takeover! #VoteLabour https://t.co/oCDI7NWebj	Labour	Barnet	0.409415	0.487792
18989	0.6114	5966	51	FALSE	2761	1.52521E+12	Two mass canvasses in Barnet today - Child's Hill and Hay (Mill Hill) Went round with Labour Group Deputy Leader Ross Houston @BarnetLabour has excellent roots in the Jewish and Asian communities (one candidate is a Rabbi) I sense a high turnout and a Labour takeover! #VoteLabour https://t.co/oCDI7NWebj	Labour	Barnet	0.409415	0.487792
18991	0.6114	2033	0	FALSE	199592	1.52521E+12	Two mass canvasses in Barnet today - Child's Hill and Hay (Mill Hill) Went round with Labour Group Deputy Leader Ross Houston @BarnetLabour has excellent roots in the Jewish and Asian communities (one candidate is a Rabbi) I sense a high turnout and a Labour takeover! #VoteLabour https://t.co/oCDI7NWebj	Labour	Barnet	0.409415	0.487792
19277	0.6114	15257	1319	TRUE	20836	1.52521E+12	Two mass canvasses in Barnet today - Child's Hill and Hay (Mill Hill) Went round with Labour Group Deputy Leader Ross Houston @BarnetLabour has excellent roots in the Jewish and Asian communities (one candidate is a Rabbi) I sense a high turnout and a Labour takeover! #VoteLabour https://t.co/oCDI7NWebj	Labour	Barnet	0.409415	0.487792
19278	0.6114	4991	0	FALSE	561777	1.52521E+12	Two mass canvasses in Barnet today - Child's Hill and Hay (Mill Hill) Went round with Labour Group Deputy Leader Ross Houston @BarnetLabour has excellent roots in the Jewish and Asian communities (one candidate is a Rabbi) I sense a high turnout and a Labour takeover! #VoteLabour https://t.co/oCDI7NWebj	Labour	Barnet	0.409415	0.487792
