tweetid,sentiment,followers_count,favourites_count,verified,statuses_count,timestamp_ms,text,borough,party
1,0,102,4699,False,2141,1525179440945,The foul antisemite Irfan Javed (@IrfanJaved1) is @UKLabour's council candidate in Woodfield in Stevenage on Thursday. @StevenageLabour  @gnasherjew @LabourAgainstAS @mishtal @antisemitism 

https://t.co/0MOffxltPp,NULL,NULL
2,-0.7096,1282,3212,False,11589,1525179442539,".@JeremyCorbyn should join CAA’s call for Len McClusky’s resignation, after appalling threat to @UKLabour MPs who stand against antisemitism
https://t.co/Fyk81iUsir",NULL,NULL
3,0.6124,24,2019,False,574,1525179443519,"Ahsan iqbal congrats to you on labour’s day ??you are the richest labourer of the world who holds Aqama and  loots as a minister too, soon you are going to have labour pains inshaAllah ??????",NULL,NULL
4,0.34,1986,88234,False,85701,1525179443704,"@wotomydoing @BrendaHulse The House of Lords together with Labour, Liberals, Tories and Greens are ganging up together in order to please Fony Bliar and prevent Brexit.
We all know what to do on Thursday ??",NULL,NULL
5,0.7269,158,6879,False,2287,1525179443920,"Good on Labour's Kate Hoey the only Labour MP to say we would be shutting the back door, if we stay in the Customs Union or Single Market. Pity the other Labour MPs that agree with her wouldn't have the bottle to back her, and say what they really think. Good on you Kate Hoey.",NULL,NULL
6,-0.5574,1014,18317,False,17138,1525179443932,Inspiring to see that "socialism in our time" has already degraded into "limited technical education provided solely to subsidise capital's inability to train labour" https://t.co/nhkhri4rKi,NULL,NULL
7,0.8807,1229,217423,False,212915,1525179444255,I have been told that as a Labour voter I should remain loyal to the party. 
Why would I? 
I gave my vote to Labour every single time until the last GE because their values reflected mine. Brexit does not represent my values so on Thursday I will be voting #Remain.
#ABTV,NULL,NULL
8,-0.7518,65,1697,False,1078,1525179444360,"@OwenJones84 Labour not perfrming well in locals nothing new although i accept2perform well could be crucial here. Let's not pretend Brexit not having an impact. I'm Labour member (&amp;momentum) but am livid about Brexit stance, altho will vote L, I know many who won't vote at all even tho memb",NULL,NULL
9,-0.5983,106,10356,False,7754,1525179444671,"Many have looked at the hatred towards Jews from corbyns army &amp; thought ‘meh its ok I’m not Jewish’. Now witness the racial hatred towards @sajidjavid  You may not be Jewish, you may not be south Asian. 
But you may be next !
#labour #sajidjaved",NULL,NULL
10,0.8689,627,6812,False,6073,1525179444807,"#Transphobia has no place in the @UKLabour #Labour party, nor is it ever a defensible view in modern British society. #Trans women are women. I am proud to be a member of a political party that upholds such progressive and inclusive values. ??????
https://t.co/WyACjwb2vP",NULL,NULL
11,0,10,41,False,102,1525179445075,RT @splendid_rose: It is labour indeed that puts the difference on everything.     

#??_????_?????_???_??_??,NULL,NULL
12,-0.7165,46,4994,False,4306,1525179445041,The next Labour government will tackle the misery of permanent debt.

