tweetid,sentiment,followers_count,favourites_count,verified,statuses_count,timestamp_ms,text,party,borough,av_sent_party,av_sent_borough,max_sent_borough,min_sent_borough
49418,-0.7506,6051,609,1,15866,1525263478731,Leader of #Barking and #Dagenham Council reports Tories to election watchdog for claiming green waste charge is illegal https://t.co/92TCHc4c5w,Conservative,Barking and Dagenham,-0.7506,-0.7506,-0.7506,-0.7506
2057,0,596,256,0,2577,1525183037934,Out on the campaign trail in Oakleigh for @BarnetTories ahead of Thursday’s election. #VoteConservative #ToryCanvass https://t.co/MiVZa1I8qF,Conservative,Barnet,-0.086125,0.537461538461539,0.906,-0.9024
2304,0,3169,6585,0,4368,1525183400682,Campaigning with @BarnetTories  Councillor Candidates @GurungLachhya   @Laithe_Jajeh @cynthiabarker24 and @MatthewOfford MP in Mill Hill this weekend.  @HertsmereTories @Conservatives #Elections2018 #Tories #barnet #VoteConservative https://t.co/aD9R4SPbfB,Conservative,Barnet,-0.086125,0.537461538461539,0.906,-0.9024
17754,-0.9024,851,37,0,46583,1525203874675,Only days to go until the local elections &amp; I refuse to vote for 4 more yrs of Barnet Tory rule! The outsourcing experiment failed  they sold Barnet's soul to Capita  NSL etc. so middlemen could profit while services suffered &amp; residents cried! Time to FIX broken Barnet! https://t.co/CFbrAUuXCy,Conservative,Barnet,-0.086125,0.537461538461539,0.906,-0.9024
18675,0.5579,1416,38918,0,32116,1525204873530,@martinthegood It’s making local elections a very difficult call. Here in Barnet there’s a whisker of a chance of unseating the Tories and normally I’d be wearing out shoe leather campaigning. But I don’t want any victory to be seen as support for Brexit ,Conservative,Barnet,-0.086125,0.537461538461539,0.906,-0.9024
21254,0.4389,377,413,0,2411,1525207570267,Now that the election is fast approaching - @BarnetLabour posters have started appearing - these have just gone up in Woodhouse! Use all 3 votes for Labour on Thursday 3 May for a brighter Barnet https://t.co/PCXQl4OzeQ,Labour,Barnet,0.518154761904762,0.537461538461539,0.906,-0.9024
21470,0.6114,1560,181384,0,197482,1525207806321,Two mass canvasses in Barnet today - Child's Hill and Hay (Mill Hill) Went round with Labour Group Deputy Leader Ross Houston @BarnetLabour has excellent roots in the Jewish and Asian communities (one candidate is a Rabbi) I sense a high turnout and a Labour takeover! #VoteLabour https://t.co/oCDI7NWebj,Labour,Barnet,0.518154761904762,0.537461538461539,0.906,-0.9024
23433,0.6114,2033,0,0,199592,1525209757114,Two mass canvasses in Barnet today - Child's Hill and Hay (Mill Hill) Went round with Labour Group Deputy Leader Ross Houston @BarnetLabour has excellent roots in the Jewish and Asian communities (one candidate is a Rabbi) I sense a high turnout and a Labour takeover! #VoteLabour https://t.co/oCDI7NWebj,Labour,Barnet,0.518154761904762,0.537461538461539,0.906,-0.9024
23797,0.6114,4991,0,0,561777,1525210093522,Two mass canvasses in Barnet today - Child's Hill and Hay (Mill Hill) Went round with Labour Group Deputy Leader Ross Houston @BarnetLabour has excellent roots in the Jewish and Asian communities (one candidate is a Rabbi) I sense a high turnout and a Labour takeover! #VoteLabour https://t.co/oCDI7NWebj,Labour,Barnet,0.518154761904762,0.537461538461539,0.906,-0.9024
23798,0.6114,1533,0,0,127857,1525210093496,Two mass canvasses in Barnet today - Child's Hill and Hay (Mill Hill) Went round with Labour Group Deputy Leader Ross Houston @BarnetLabour has excellent roots in the Jewish and Asian communities (one candidate is a Rabbi) I sense a high turnout and a Labour takeover! #VoteLabour https://t.co/oCDI7NWebj,Labour,Barnet,0.518154761904762,0.537461538461539,0.906,-0.9024
